回帖用户名,用户主页地址,回帖时间,回帖内容
圆偷来的苹果,https://x.com/Yuanrunner,2026-01-10T08:31:38.000Z,警员主观上可能觉得受到生命危险，但客观上远没到需要开枪的程度，最少也算过失杀人比较合理吧
Gork,https://x.com/funnyshuman,2026-01-10T08:06:18.000Z,你怎麼什麼問題都問總書記，要你幹叼？
链条,https://x.com/dameiliuhe111,2026-01-10T08:11:57.000Z,"习近平表示：
骇斯偶咧！
这事情要发生在中国，微博一分钟亡国60次。"
Science Focused,https://x.com/Tao_Tao123,2026-01-10T09:14:50.000Z,左派都把焦点放在了ICE，但没关心那位37岁母亲是左派派来阻挠ICE执法的，并且她袭击ICE执法人员在先。
not Janet Yellen,https://x.com/DaShiXiong2233,2026-01-10T08:31:03.000Z,如果发生在国内呢？如果是中国城管呢？
大橘orange,https://x.com/cFDNtzK1QkqhBXb,2026-01-10T08:19:22.000Z,我觉得只要没有切实收到威胁，就不该清空弹夹。 警察本来就是为人民服务的公务员，不是暴力镇压的进村土匪。
向阳而生,https://x.com/vXOzbsF50o12156,2026-01-10T10:22:21.000Z,罪不至死，感觉杀人就像闹着玩一样
xxz,https://x.com/ZiXuan70858,2026-01-10T08:48:22.000Z,习说：坚持人民至上，生命至上。
hayson,https://x.com/YoungOcean94306,2026-01-10T10:55:09.000Z,第三个选项是什么鬼啊
Luka Dončić,https://x.com/Li_hua_yu,2026-01-10T13:17:02.000Z,"""务必敢于斗争，善于斗争"" 这句话的含金量还在上升。"
习禁评,https://x.com/ZCk0dRRRGJ245,2026-01-10T12:27:59.000Z,我觉得不该开枪，在他开枪之前已经把方向盘打右了只是想走，川普万斯的发言让人愤怒
lp1802,https://x.com/lp1802,2026-01-10T09:30:54.000Z,黑菊花，菊花黑，归来吧，哪里的黄土不埋人
伟,https://x.com/Knoll2062,2026-01-10T12:13:43.000Z,第二第三枪是在泄愤杀人
Compartk 𝕏/,https://x.com/Compart42,2026-01-10T08:27:15.000Z,她抛下刚失去父亲的孩子们，只为保护索马里诈骗犯，认为跑到另一个州与武装的联邦特工正面交锋是个好主意。 就是个精神错乱的左翼分子，一个试图碾压联邦探员的罪犯。 此被击毙嫌犯可以明显看到冲撞探员，同一探员于六个月前因追捕非法移民被车拖行百米，缝了33针。如果探员被车碾压，左派肯定会庆祝的
神人共遠遊,https://x.com/Save_Sune,2026-01-10T14:20:38.000Z,防卫过当
Emma Urreta,https://x.com/UrretaEmma,2026-01-10T11:24:39.000Z,这个问题无法回答
"Focus on facts, Silence is accomplice.",https://x.com/HellowWorld_R,2026-01-10T10:57:35.000Z,蠢货选1，正常人选2，仙人选3 
Fan 埃隆·马斯克中文转推,https://x.com/musk_old_fan,2026-01-10T08:18:59.000Z,第一枪大概率人已经没了，后面又开了两枪。
语言即世界 人权高于主权|支言支语｜支人思维 ｜支那ぶた,https://x.com/allmoneycome6,2026-01-10T11:13:06.000Z,至少那个警察得抓起来审
sure,https://x.com/SurePi79905337,2026-01-10T10:50:42.000Z,看样子，正常人多
JohnSmith,https://x.com/JohnSmithn3xy,2026-01-10T11:23:52.000Z,习近平说 这就是暴力执法 滥用职权
Kevin G,https://x.com/G_Kevinsiu,2026-01-10T08:00:44.000Z,话说王局林友案的片子patreon能不能上一下patreon的会员也是会员啊
钟莲花延寿150岁工程总设计师,https://x.com/isnowzerocovid,2026-01-10T10:50:42.000Z,WZA三拳暴打37岁母亲，你觉得
答案,https://x.com/fhcu2013,2026-01-10T08:34:52.000Z,"普通人并不会有太大的动机去做执法的对抗，除非是意识形态活动人士。
愿意冒着生命风险去捍卫自己的路线，说明国家非常有活力，也说明左和右都走得太远。
算了，我编不下去了"
Adam,https://x.com/yuhailei2,2026-01-10T08:17:56.000Z,女白左袭警被击毙，她三个孩子解放了！这辈子不会被从小洗脑，当一个小左疯，是一件幸事！
DAN（易链科技-区块链服务商）,https://x.com/Easychain99,2026-01-10T09:44:26.000Z,这就是杀人，滥施暴力；
myles,https://x.com/mylesmeung,2026-01-10T11:56:09.000Z,首先明显警察本可以选择躲开而不是射击，其次如果是生命受到威胁不得不开枪，那么从侧面发射的后两枪怎么能解释为生命受到威胁？
Jude Marcelo,https://x.com/MarceloJud39257,2026-01-10T09:05:31.000Z,我觉得该击毙王菊花
方林军,https://x.com/shimhtinte,2026-01-10T09:17:32.000Z,美国自然有反对派和法律不断讨论这样的事情
月亮湾（戒者）,https://x.com/adongakak,2026-01-10T11:13:46.000Z,妨碍非法移民执法人员执法
月亮湾（戒者）,https://x.com/adongakak,2026-01-10T11:14:38.000Z,王菊花，得回国问问习近平怎么看？
习近平,https://x.com/2dwvxSZPJj79823,2026-01-10T08:04:40.000Z,怎么都想问问我
takatomo,https://x.com/yrtakatomo,2026-01-10T08:01:59.000Z,第三个选项才是你想说的吧，我拿不准，想问问习近平为什么在日本？
Daily,https://x.com/zchao1714,2026-01-10T11:30:37.000Z,从评论来看反映了两个方面，1是王局是前央视的职业媒体人，他知道听众喜欢听什么怎样来带节奏，2是他知道如何提高流量来扩大他的影响力。
会飞的鱼,https://x.com/hufidey135259,2026-01-10T09:22:31.000Z,社会伦理之下，为了规范人们的行为从而设置了最低限。这，就是法律的意义。为了执法，而罔顾人伦，则法为恶法呀！！2000年前就知道的事，怎么现在还在发生！！！愚蠢！！
博纳多,https://x.com/xUd6AHdwkjyMvVx,2026-01-10T11:18:13.000Z,开枪合理合法！你可以在道德方面使使劲！
liam@,https://x.com/HongxiaC19928,2026-01-10T09:31:54.000Z,看投票结果，还是白左占多数
等你嗝屁那一天,https://x.com/luziyebuye,2026-01-10T08:23:06.000Z,习近平说了，枪击死的太痛快了，必须再发动一次动态清零，持续30年
老兵燒烤,https://x.com/dnglng798161,2026-01-10T14:50:14.000Z,在美国啊，那肯定是正常的。
