帖子主页,发帖时间,回复人次,转发次数,点赞次数,展示次数,当前帖子内容,转发帖子的用户id,转发帖子的用户
https://x.com/wangzhian8848/status/1876486307205251482,2025-01-07T04:29:33.000Z,3.2K,373,1.8K,14M,"我们专门建了一个投稿邮箱，欢迎各种突发新闻，社会事件，行业内幕的投稿。

投稿信箱如下：

wangjutougao@gmail.com

感谢",,
https://x.com/wangzhian8848/status/2009897748326502864,2026-01-10T07:58:59.000Z,85,3,45,35K,ICE三枪击毙37岁母亲，你觉得：,,
https://x.com/wangzhian8848/status/2009896039596339612,2026-01-10T07:52:12.000Z,98,3,195,73K,我这种级别，国安不配和我联系。我都是直接和中南海发微信。,@satoshiStormDog,风暴
https://x.com/wangzhian8848/status/2009894749982113834,2026-01-10T07:47:05.000Z,154,17,460,104K,"特朗普说，如果美国不得到格陵兰，中国和俄国就会得到。这个扯的有点离谱了。中国好像从来没有对格陵兰提出过任何要求，而且在格陵兰也没有驻军。

自己想侵略就侵略，找这个理由有的low了。",,
https://x.com/wangzhian8848/status/2009867655776494036,2026-01-10T05:59:25.000Z,151,27,495,83K,击毙！,,
https://x.com/wangzhian8848/status/2009865951957930257,2026-01-10T05:52:39.000Z,214,16,580,83K,"特朗普说我不需要国际法，能约束我行动的就是内心的道德准则。这话听起来很熟悉，老毛当年经常说，我就是秃子打伞无法无天。要那么法律干什么，也记不过来，我们每个月开一次会，什么事情都解决了。

我一直以为老毛已经死了，没想到，诈尸到了美国。",,
https://x.com/wangzhian8848/status/2009864887284183121,2026-01-10T05:48:25.000Z,71,5,207,72K,ICE又成功击毙一名非法移民。,,
https://x.com/wangzhian8848/status/2009841161071145161,2026-01-10T04:14:08.000Z,104,4,170,34K,新年，吃点儿饺子。,,
https://x.com/wangzhian8848/status/2009789877819527479,2026-01-10T00:50:21.000Z,218,23,604,150K,美国宣布退出联合国三十多个机构，马克龙说在研究退出北约。这个世界已经无法治理了。春秋进入到战国的既视感。,,
https://x.com/wangzhian8848/status/2009782086656549299,2026-01-10T00:19:24.000Z,137,8,220,128K,高市早苗想要提前解散众议院举行大选，时间大概在一个月后。提前举行大选，或许能在国内争取到更高的支持，但核心问题是来自中国的制裁企业界是否承受得住。如果承受不住，暂时的较高支持度没有太大意义。,,
https://x.com/wangzhian8848/status/2009644665646219451,2026-01-09T15:13:20.000Z,266,16,528,127K,和美国ICE相比，中国城管真实弱爆了。,,
https://x.com/wangzhian8848/status/2009638626226061670,2026-01-09T14:49:20.000Z,240,16,276,96K,明尼苏达一名37岁的美国“恐怖分子”被击毙，她是三名孩子的母亲，刚刚送自己六岁的孩子上学。,,
https://x.com/wangzhian8848/status/2009634412913426891,2026-01-09T14:32:35.000Z,52,4,147,113K,筹备了半年，终于落地了。,@DaBingJingDuo,美国大兵净多
https://x.com/wangzhian8848/status/2009564089572528208,2026-01-09T09:53:09.000Z,254,2,97,132K,最近有啥新闻值得聊聊？,,
https://x.com/wangzhian8848/status/2009474134422770108,2026-01-09T03:55:42.000Z,157,4,259,110K,看来挽救台湾的机会在于美国修宪，让特朗普当终身总统。赖清德支持否？,,
https://x.com/wangzhian8848/status/2009082312672333858,2026-01-08T01:58:44.000Z,1K,67,1.5K,395K,"石平议员说，中国制裁我，我如果能去台湾，说明台湾是一个独立的国家，和中国不一样。

可我王局被中共制裁，然后台湾也禁止我入境，由此是不是证明，大陆和台湾是一个国家，习近平和赖清德他们商量好了？

要想证明台湾是一个独立国家，首先把我解禁了嘛。",,
https://x.com/wangzhian8848/status/2009081153345736933,2026-01-08T01:54:08.000Z,151,39,607,202K,赵立坚都不敢这么说。,@sunpolis,叶隐
